Loading python/3.11.6--gcc--8.5.0
  Loading requirement: bzip2/1.0.8-gp5wcz5 libmd/1.0.4-wja3f5q
    libbsd/0.11.7-cgxjopl expat/2.5.0-bptl3xw ncurses/6.4-asx3jea
    readline/8.2-nyw6mp6 gdbm/1.23-fs6otck libiconv/1.17-d7yvx2s
    xz/5.4.1-hubmwr5 zlib-ng/2.1.4-6htiapk libxml2/2.10.3-5eeeokp
    pigz/2.7-bopr5vp zstd/1.5.5-gawytfl tar/1.34-amqus5s gettext/0.22.3-2g7elif
    libffi/3.4.4-6r7brdq libxcrypt/4.4.35-ss2rzin sqlite/3.43.2
    util-linux-uuid/2.38.1-jkdi7kv
Running on  nodes
---------------------------------------------
SLURM job ID:        11939722
SLURM job node list: lrdn2633
DATE:                Wed Jan 29 12:43:23 CET 2025
---------------------------------------------
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
01/29/2025 12:43:57 - INFO - __main__ - ***** Running training *****
01/29/2025 12:43:57 - INFO - __main__ -   Num examples = 78773
01/29/2025 12:43:57 - INFO - __main__ -   Num Epochs = 50
01/29/2025 12:43:57 - INFO - __main__ -   Instantaneous batch size per device = 16
01/29/2025 12:43:57 - INFO - __main__ -   Total train batch size (w. parallel, distributed & accumulation) = 16
01/29/2025 12:43:57 - INFO - __main__ -   Gradient Accumulation steps = 1
01/29/2025 12:43:57 - INFO - __main__ -   Total optimization steps = 1000

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 1/1000 [00:33<9:18:21, 33.54s/it]
  0%|          | 2/1000 [00:48<6:17:32, 22.70s/it]
  0%|          | 3/1000 [01:03<5:19:32, 19.23s/it]
  0%|          | 4/1000 [01:18<4:52:00, 17.59s/it]
  0%|          | 5/1000 [01:33<4:36:42, 16.69s/it]
  1%|          | 6/1000 [01:48<4:27:26, 16.14s/it]
  1%|          | 7/1000 [02:04<4:21:33, 15.80s/it]
  4%|▍         | 45/1000 [11:37<4:00:24, 15.10s/it]
  5%|▍         | 46/1000 [11:52<4:00:07, 15.10s/it]
  5%|▍         | 47/1000 [12:07<3:59:48, 15.10s/it]
  5%|▍         | 48/1000 [12:22<3:59:29, 15.09s/it]
  5%|▍         | 49/1000 [12:38<3:59:15, 15.10s/it]
  5%|▌         | 50/1000 [12:53<3:59:00, 15.10s/it]
  5%|▌         | 51/1000 [13:08<3:58:47, 15.10s/it]
  5%|▌         | 52/1000 [13:23<3:58:30, 15.10s/it]
  5%|▌         | 53/1000 [13:38<3:58:16, 15.10s/it]
  5%|▌         | 54/1000 [13:53<3:58:02, 15.10s/it]
  6%|▌         | 55/1000 [14:08<3:57:45, 15.10s/it]
  6%|▌         | 56/1000 [14:23<3:57:28, 15.09s/it]
  6%|▌         | 57/1000 [14:38<3:57:15, 15.10s/it]
  6%|▌         | 58/1000 [14:53<3:56:57, 15.09s/it]
  6%|▌         | 59/1000 [15:08<3:56:40, 15.09s/it]
  6%|▌         | 60/1000 [15:24<3:56:27, 15.09s/it]
  6%|▌         | 61/1000 [15:39<3:56:10, 15.09s/it]
  6%|▌         | 62/1000 [15:54<3:55:56, 15.09s/it]
  6%|▋         | 63/1000 [16:09<3:55:42, 15.09s/it]
  6%|▋         | 64/1000 [16:24<3:55:29, 15.10s/it]
  6%|▋         | 65/1000 [16:39<3:55:16, 15.10s/it]
  7%|▋         | 66/1000 [16:54<3:55:03, 15.10s/it]
  7%|▋         | 67/1000 [17:09<3:54:50, 15.10s/it]
  7%|▋         | 68/1000 [17:24<3:54:31, 15.10s/it]
  7%|▋         | 69/1000 [17:39<3:54:14, 15.10s/it]
  7%|▋         | 70/1000 [17:55<3:53:57, 15.09s/it]
  7%|▋         | 71/1000 [18:10<3:53:39, 15.09s/it]
  7%|▋         | 72/1000 [18:25<3:53:24, 15.09s/it]
  7%|▋         | 73/1000 [18:40<3:53:11, 15.09s/it]
  7%|▋         | 74/1000 [18:55<3:52:53, 15.09s/it]
  8%|▊         | 75/1000 [19:10<3:52:38, 15.09s/it]
  8%|▊         | 76/1000 [19:25<3:52:23, 15.09s/it]
  8%|▊         | 77/1000 [19:40<3:52:07, 15.09s/it]
  8%|▊         | 78/1000 [19:55<3:51:58, 15.10s/it]
  8%|▊         | 79/1000 [20:10<3:51:45, 15.10s/it]
  8%|▊         | 80/1000 [20:25<3:51:32, 15.10s/it]
  8%|▊         | 81/1000 [20:41<3:51:14, 15.10s/it]
  8%|▊         | 82/1000 [20:56<3:51:02, 15.10s/it]
  8%|▊         | 83/1000 [21:11<3:50:47, 15.10s/it]
  8%|▊         | 84/1000 [21:26<3:50:32, 15.10s/it]
  8%|▊         | 85/1000 [21:41<3:50:21, 15.11s/it]
  9%|▊         | 86/1000 [21:56<3:50:04, 15.10s/it]
  9%|▊         | 87/1000 [22:11<3:49:49, 15.10s/it]
  9%|▉         | 88/1000 [22:26<3:49:31, 15.10s/it]
  9%|▉         | 89/1000 [22:41<3:49:15, 15.10s/it]
  9%|▉         | 90/1000 [22:56<3:48:55, 15.09s/it]
  9%|▉         | 91/1000 [23:12<3:48:42, 15.10s/it]
  9%|▉         | 92/1000 [23:27<3:48:25, 15.09s/it]
  9%|▉         | 93/1000 [23:42<3:48:11, 15.10s/it]
  9%|▉         | 94/1000 [23:57<3:47:52, 15.09s/it]
 10%|▉         | 95/1000 [24:12<3:47:33, 15.09s/it]
 10%|▉         | 96/1000 [24:27<3:47:22, 15.09s/it]
 10%|▉         | 97/1000 [24:42<3:47:09, 15.09s/it]
 10%|▉         | 98/1000 [24:57<3:46:49, 15.09s/it]
 10%|▉         | 99/1000 [25:12<3:46:34, 15.09s/it]
 10%|█         | 100/1000 [25:27<3:46:19, 15.09s/it]
 10%|█         | 101/1000 [25:42<3:46:03, 15.09s/it]
 10%|█         | 102/1000 [25:58<3:45:46, 15.09s/it]
 10%|█         | 103/1000 [26:13<3:45:38, 15.09s/it]
 10%|█         | 104/1000 [26:28<3:45:22, 15.09s/it]
 10%|█         | 105/1000 [26:43<3:45:03, 15.09s/it]
 11%|█         | 106/1000 [26:58<3:44:48, 15.09s/it]
 11%|█         | 107/1000 [27:13<3:44:35, 15.09s/it]
 11%|█         | 108/1000 [27:28<3:44:16, 15.09s/it]
 11%|█         | 109/1000 [27:43<3:44:04, 15.09s/it]
 11%|█         | 110/1000 [27:58<3:43:51, 15.09s/it]
 11%|█         | 111/1000 [28:13<3:43:39, 15.10s/it]
 11%|█         | 112/1000 [28:28<3:43:21, 15.09s/it]
 11%|█▏        | 113/1000 [28:44<3:43:06, 15.09s/it]
 11%|█▏        | 114/1000 [28:59<3:42:51, 15.09s/it]
 12%|█▏        | 115/1000 [29:14<3:42:36, 15.09s/it]
 12%|█▏        | 116/1000 [29:29<3:42:23, 15.09s/it]
 12%|█▏        | 117/1000 [29:44<3:42:07, 15.09s/it]
 12%|█▏        | 118/1000 [29:59<3:41:55, 15.10s/it]
 12%|█▏        | 119/1000 [30:14<3:41:35, 15.09s/it]
 12%|█▏        | 120/1000 [30:29<3:41:15, 15.09s/it]
 12%|█▏        | 121/1000 [30:44<3:40:59, 15.09s/it]
 12%|█▏        | 122/1000 [30:59<3:40:43, 15.08s/it]
 12%|█▏        | 123/1000 [31:14<3:40:35, 15.09s/it]
 12%|█▏        | 124/1000 [31:30<3:40:22, 15.09s/it]
 12%|█▎        | 125/1000 [31:45<3:40:03, 15.09s/it]
 13%|█▎        | 126/1000 [32:00<3:39:50, 15.09s/it]
 13%|█▎        | 127/1000 [32:15<3:39:35, 15.09s/it]
 13%|█▎        | 128/1000 [32:30<3:39:21, 15.09s/it]
 13%|█▎        | 129/1000 [32:45<3:39:10, 15.10s/it]
 13%|█▎        | 130/1000 [33:00<3:38:52, 15.10s/it]
 13%|█▎        | 131/1000 [33:15<3:38:34, 15.09s/it]
 13%|█▎        | 132/1000 [33:30<3:38:18, 15.09s/it]
 13%|█▎        | 133/1000 [33:45<3:38:07, 15.09s/it]
 13%|█▎        | 134/1000 [34:00<3:37:52, 15.10s/it]
 14%|█▎        | 135/1000 [34:16<3:37:36, 15.09s/it]
 14%|█▎        | 136/1000 [34:31<3:37:14, 15.09s/it]
 14%|█▎        | 137/1000 [34:46<3:36:58, 15.09s/it]
 14%|█▍        | 138/1000 [35:01<3:36:43, 15.09s/it]
 14%|█▍        | 139/1000 [35:16<3:36:27, 15.08s/it]
 14%|█▍        | 140/1000 [35:31<3:36:11, 15.08s/it]
 14%|█▍        | 141/1000 [35:46<3:35:55, 15.08s/it]
 14%|█▍        | 142/1000 [36:01<3:35:38, 15.08s/it]
 14%|█▍        | 143/1000 [36:16<3:35:32, 15.09s/it]
 14%|█▍        | 144/1000 [36:31<3:35:20, 15.09s/it]
 14%|█▍        | 145/1000 [36:46<3:35:03, 15.09s/it]
 15%|█▍        | 146/1000 [37:02<3:34:45, 15.09s/it]
 15%|█▍        | 147/1000 [37:17<3:34:19, 15.08s/it]
 15%|█▍        | 148/1000 [37:32<3:34:11, 15.08s/it]
 15%|█▍        | 149/1000 [37:47<3:33:54, 15.08s/it]
 15%|█▌        | 150/1000 [38:02<3:33:50, 15.09s/it]
 15%|█▌        | 151/1000 [38:17<3:33:35, 15.09s/it]
 15%|█▌        | 152/1000 [38:32<3:33:16, 15.09s/it]
 15%|█▌        | 153/1000 [38:47<3:33:01, 15.09s/it]
 15%|█▌        | 154/1000 [39:02<3:32:44, 15.09s/it]
 16%|█▌        | 155/1000 [39:17<3:32:30, 15.09s/it]
 16%|█▌        | 156/1000 [39:32<3:32:14, 15.09s/it]
 16%|█▌        | 157/1000 [39:47<3:32:00, 15.09s/it]
 16%|█▌        | 158/1000 [40:03<3:31:42, 15.09s/it]
 16%|█▌        | 159/1000 [40:18<3:31:21, 15.08s/it]
 16%|█▌        | 160/1000 [40:33<3:31:10, 15.08s/it]
 16%|█▌        | 161/1000 [40:48<3:31:02, 15.09s/it]
 16%|█▌        | 162/1000 [41:03<3:30:48, 15.09s/it]
 16%|█▋        | 163/1000 [41:18<3:30:36, 15.10s/it]
 16%|█▋        | 164/1000 [41:33<3:30:25, 15.10s/it]
 16%|█▋        | 165/1000 [41:48<3:30:10, 15.10s/it]
 17%|█▋        | 166/1000 [42:03<3:29:55, 15.10s/it]
 17%|█▋        | 167/1000 [42:18<3:29:42, 15.11s/it]
 17%|█▋        | 168/1000 [42:34<3:29:23, 15.10s/it]
 17%|█▋        | 169/1000 [42:49<3:29:09, 15.10s/it]
 17%|█▋        | 170/1000 [43:04<3:28:55, 15.10s/it]
 17%|█▋        | 171/1000 [43:19<3:28:38, 15.10s/it]
 17%|█▋        | 172/1000 [43:34<3:28:20, 15.10s/it]
 17%|█▋        | 173/1000 [43:49<3:28:11, 15.10s/it]
 17%|█▋        | 174/1000 [44:04<3:28:00, 15.11s/it]
 18%|█▊        | 175/1000 [44:19<3:27:48, 15.11s/it]
 18%|█▊        | 176/1000 [44:34<3:27:35, 15.12s/it]
 18%|█▊        | 177/1000 [44:50<3:27:21, 15.12s/it]
 18%|█▊        | 178/1000 [45:05<3:27:06, 15.12s/it]
 18%|█▊        | 179/1000 [45:20<3:26:45, 15.11s/it]
 18%|█▊        | 180/1000 [45:35<3:26:28, 15.11s/it]
 18%|█▊        | 181/1000 [45:50<3:26:17, 15.11s/it]
 18%|█▊        | 182/1000 [46:05<3:25:58, 15.11s/it]
 18%|█▊        | 183/1000 [46:20<3:25:48, 15.11s/it]
 18%|█▊        | 184/1000 [46:35<3:25:37, 15.12s/it]
 18%|█▊        | 185/1000 [46:50<3:25:20, 15.12s/it]
 19%|█▊        | 186/1000 [47:06<3:25:07, 15.12s/it]
 19%|█▊        | 187/1000 [47:21<3:24:47, 15.11s/it]
 19%|█▉        | 188/1000 [47:36<3:24:31, 15.11s/it]
 19%|█▉        | 189/1000 [47:51<3:24:14, 15.11s/it]
 19%|█▉        | 190/1000 [48:06<3:23:57, 15.11s/it]
 19%|█▉        | 191/1000 [48:21<3:23:38, 15.10s/it]
 19%|█▉        | 192/1000 [48:36<3:23:28, 15.11s/it]
 19%|█▉        | 193/1000 [48:51<3:23:16, 15.11s/it]
 19%|█▉        | 194/1000 [49:06<3:23:02, 15.11s/it]
 20%|█▉        | 195/1000 [49:22<3:22:41, 15.11s/it]
 20%|█▉        | 196/1000 [49:37<3:22:21, 15.10s/it]
 20%|█▉        | 197/1000 [49:52<3:22:08, 15.10s/it]
 20%|█▉        | 198/1000 [50:07<3:21:47, 15.10s/it]
 20%|█▉        | 199/1000 [50:22<3:21:32, 15.10s/it]
 20%|██        | 200/1000 [50:37<3:21:21, 15.10s/it]
 20%|██        | 201/1000 [50:52<3:21:09, 15.11s/it]
 20%|██        | 202/1000 [51:07<3:20:53, 15.10s/it]
 20%|██        | 203/1000 [51:22<3:20:38, 15.11s/it]
 20%|██        | 204/1000 [51:37<3:20:18, 15.10s/it]
 20%|██        | 205/1000 [51:53<3:20:00, 15.09s/it]
 21%|██        | 206/1000 [52:08<3:19:49, 15.10s/it]
 21%|██        | 207/1000 [52:23<3:19:33, 15.10s/it]
 21%|██        | 208/1000 [52:38<3:19:17, 15.10s/it]
 21%|██        | 209/1000 [52:53<3:19:00, 15.10s/it]
 21%|██        | 210/1000 [53:08<3:18:41, 15.09s/it]
 21%|██        | 211/1000 [53:23<3:18:32, 15.10s/it]
 21%|██        | 212/1000 [53:38<3:18:20, 15.10s/it]
 21%|██▏       | 213/1000 [53:53<3:18:07, 15.10s/it]
 21%|██▏       | 214/1000 [54:08<3:17:47, 15.10s/it]
 22%|██▏       | 215/1000 [54:23<3:17:27, 15.09s/it]
 22%|██▏       | 216/1000 [54:39<3:17:16, 15.10s/it]
 22%|██▏       | 217/1000 [54:54<3:17:00, 15.10s/it]
 22%|██▏       | 218/1000 [55:09<3:16:44, 15.10s/it]
 22%|██▏       | 219/1000 [55:24<3:16:29, 15.10s/it]
 22%|██▏       | 220/1000 [55:39<3:16:16, 15.10s/it]
 22%|██▏       | 221/1000 [55:54<3:16:06, 15.10s/it]
 22%|██▏       | 222/1000 [56:09<3:15:54, 15.11s/it]
 22%|██▏       | 223/1000 [56:24<3:15:36, 15.11s/it]
 22%|██▏       | 224/1000 [56:39<3:15:18, 15.10s/it]
 22%|██▎       | 225/1000 [56:55<3:15:09, 15.11s/it]
 23%|██▎       | 226/1000 [57:10<3:14:58, 15.11s/it]
 23%|██▎       | 227/1000 [57:25<3:14:36, 15.11s/it]
 23%|██▎       | 228/1000 [57:40<3:14:16, 15.10s/it]
 23%|██▎       | 229/1000 [57:55<3:13:59, 15.10s/it]
 23%|██▎       | 230/1000 [58:10<3:13:44, 15.10s/it]
 23%|██▎       | 231/1000 [58:25<3:13:28, 15.10s/it]
 23%|██▎       | 232/1000 [58:40<3:13:13, 15.10s/it]
 23%|██▎       | 233/1000 [58:55<3:13:01, 15.10s/it]
 23%|██▎       | 234/1000 [59:10<3:12:45, 15.10s/it]
 24%|██▎       | 235/1000 [59:26<3:12:34, 15.10s/it]
 24%|██▎       | 236/1000 [59:41<3:12:20, 15.11s/it]
 24%|██▎       | 237/1000 [59:56<3:12:05, 15.11s/it]
 24%|██▍       | 238/1000 [1:00:11<3:11:52, 15.11s/it]
 24%|██▍       | 239/1000 [1:00:26<3:11:38, 15.11s/it]
 24%|██▍       | 240/1000 [1:00:41<3:11:19, 15.11s/it]
 24%|██▍       | 241/1000 [1:00:56<3:11:01, 15.10s/it]
 24%|██▍       | 242/1000 [1:01:11<3:10:46, 15.10s/it]
 24%|██▍       | 243/1000 [1:01:26<3:10:31, 15.10s/it]
 24%|██▍       | 244/1000 [1:01:41<3:10:16, 15.10s/it]
 24%|██▍       | 245/1000 [1:01:57<3:09:57, 15.10s/it]
 25%|██▍       | 246/1000 [1:02:12<3:09:38, 15.09s/it]
 25%|██▍       | 247/1000 [1:02:27<3:09:24, 15.09s/it]
 25%|██▍       | 248/1000 [1:02:42<3:09:14, 15.10s/it]
 25%|██▍       | 249/1000 [1:02:57<3:09:02, 15.10s/it]
 25%|██▌       | 250/1000 [1:03:12<3:08:48, 15.10s/it]
 25%|██▌       | 251/1000 [1:03:27<3:08:31, 15.10s/it]
 25%|██▌       | 252/1000 [1:03:42<3:08:11, 15.10s/it]
 25%|██▌       | 253/1000 [1:03:57<3:07:57, 15.10s/it]
 25%|██▌       | 254/1000 [1:04:12<3:07:43, 15.10s/it]
 26%|██▌       | 255/1000 [1:04:28<3:07:30, 15.10s/it]
 26%|██▌       | 256/1000 [1:04:43<3:07:18, 15.11s/it]
 26%|██▌       | 257/1000 [1:04:58<3:07:01, 15.10s/it]
 26%|██▌       | 258/1000 [1:05:13<3:06:44, 15.10s/it]
 26%|██▌       | 259/1000 [1:05:28<3:06:26, 15.10s/it]
 26%|██▌       | 260/1000 [1:05:43<3:06:13, 15.10s/it]
 26%|██▌       | 261/1000 [1:05:58<3:05:58, 15.10s/it]
 26%|██▌       | 262/1000 [1:06:13<3:05:45, 15.10s/it]
 26%|██▋       | 263/1000 [1:06:28<3:05:32, 15.11s/it]
 26%|██▋       | 264/1000 [1:06:43<3:05:15, 15.10s/it]
 26%|██▋       | 265/1000 [1:06:59<3:04:58, 15.10s/it]
 27%|██▋       | 266/1000 [1:07:14<3:04:42, 15.10s/it]
 27%|██▋       | 267/1000 [1:07:29<3:04:30, 15.10s/it]
 27%|██▋       | 268/1000 [1:07:44<3:04:11, 15.10s/it]
 27%|██▋       | 269/1000 [1:07:59<3:03:55, 15.10s/it]
 27%|██▋       | 270/1000 [1:08:14<3:03:40, 15.10s/it]
 27%|██▋       | 271/1000 [1:08:29<3:03:26, 15.10s/it]
 27%|██▋       | 272/1000 [1:08:44<3:03:10, 15.10s/it]
 27%|██▋       | 273/1000 [1:08:59<3:02:52, 15.09s/it]
 27%|██▋       | 274/1000 [1:09:14<3:02:38, 15.09s/it]
 28%|██▊       | 275/1000 [1:09:30<3:02:21, 15.09s/it]
 28%|██▊       | 276/1000 [1:09:45<3:02:06, 15.09s/it]
 28%|██▊       | 277/1000 [1:10:00<3:01:51, 15.09s/it]
 28%|██▊       | 278/1000 [1:10:15<3:01:35, 15.09s/it]
 28%|██▊       | 279/1000 [1:10:30<3:01:25, 15.10s/it]
 28%|██▊       | 280/1000 [1:10:45<3:01:15, 15.10s/it]
 28%|██▊       | 281/1000 [1:11:00<3:01:03, 15.11s/it]
 28%|██▊       | 282/1000 [1:11:15<3:00:51, 15.11s/it]
 28%|██▊       | 283/1000 [1:11:30<3:00:32, 15.11s/it]
 28%|██▊       | 284/1000 [1:11:45<3:00:12, 15.10s/it]
 28%|██▊       | 285/1000 [1:12:01<3:00:00, 15.11s/it]
 29%|██▊       | 286/1000 [1:12:16<2:59:45, 15.11s/it]
 29%|██▊       | 287/1000 [1:12:31<2:59:26, 15.10s/it]
 29%|██▉       | 288/1000 [1:12:46<2:59:10, 15.10s/it]
 29%|██▉       | 289/1000 [1:13:01<2:58:55, 15.10s/it]
 29%|██▉       | 290/1000 [1:13:16<2:58:39, 15.10s/it]
 29%|██▉       | 291/1000 [1:13:31<2:58:24, 15.10s/it]
 29%|██▉       | 292/1000 [1:13:46<2:58:10, 15.10s/it]
 29%|██▉       | 293/1000 [1:14:01<2:57:53, 15.10s/it]
 29%|██▉       | 294/1000 [1:14:16<2:57:38, 15.10s/it]
 30%|██▉       | 295/1000 [1:14:32<2:57:20, 15.09s/it]
 30%|██▉       | 296/1000 [1:14:47<2:57:10, 15.10s/it]
 30%|██▉       | 297/1000 [1:15:02<2:56:57, 15.10s/it]
 30%|██▉       | 298/1000 [1:15:17<2:56:42, 15.10s/it]
 30%|██▉       | 299/1000 [1:15:32<2:56:23, 15.10s/it]
 30%|███       | 300/1000 [1:15:47<2:56:10, 15.10s/it]
 30%|███       | 301/1000 [1:16:02<2:55:51, 15.10s/it]
 30%|███       | 302/1000 [1:16:17<2:55:39, 15.10s/it]
 30%|███       | 303/1000 [1:16:32<2:55:25, 15.10s/it]
 30%|███       | 304/1000 [1:16:47<2:55:08, 15.10s/it]
 30%|███       | 305/1000 [1:17:03<2:54:59, 15.11s/it]
 31%|███       | 306/1000 [1:17:18<2:54:47, 15.11s/it]
 31%|███       | 307/1000 [1:17:33<2:54:35, 15.12s/it]
 31%|███       | 308/1000 [1:17:48<2:54:17, 15.11s/it]
 31%|███       | 309/1000 [1:18:03<2:53:58, 15.11s/it]
 31%|███       | 310/1000 [1:18:18<2:53:43, 15.11s/it]
 31%|███       | 311/1000 [1:18:33<2:53:26, 15.10s/it]
 31%|███       | 312/1000 [1:18:48<2:53:09, 15.10s/it]
 31%|███▏      | 313/1000 [1:19:03<2:52:55, 15.10s/it]
 31%|███▏      | 314/1000 [1:19:19<2:52:44, 15.11s/it]
 32%|███▏      | 315/1000 [1:19:34<2:52:26, 15.10s/it]
 32%|███▏      | 316/1000 [1:19:49<2:52:07, 15.10s/it]
 32%|███▏      | 317/1000 [1:20:04<2:51:52, 15.10s/it]
 32%|███▏      | 318/1000 [1:20:19<2:51:35, 15.10s/it]
 32%|███▏      | 319/1000 [1:20:34<2:51:17, 15.09s/it]
 32%|███▏      | 320/1000 [1:20:49<2:51:04, 15.10s/it]
 32%|███▏      | 321/1000 [1:21:04<2:50:49, 15.10s/it]
 32%|███▏      | 322/1000 [1:21:19<2:50:36, 15.10s/it]
 32%|███▏      | 323/1000 [1:21:34<2:50:21, 15.10s/it]
 32%|███▏      | 324/1000 [1:21:49<2:50:05, 15.10s/it]
 32%|███▎      | 325/1000 [1:22:05<2:49:50, 15.10s/it]
 33%|███▎      | 326/1000 [1:22:20<2:49:29, 15.09s/it]
 33%|███▎      | 327/1000 [1:22:35<2:49:14, 15.09s/it]
 33%|███▎      | 328/1000 [1:22:50<2:49:00, 15.09s/it]
 33%|███▎      | 329/1000 [1:23:05<2:48:46, 15.09s/it]
 33%|███▎      | 330/1000 [1:23:20<2:48:30, 15.09s/it]
 33%|███▎      | 331/1000 [1:23:35<2:48:20, 15.10s/it]
 33%|███▎      | 332/1000 [1:23:50<2:48:05, 15.10s/it]
 33%|███▎      | 333/1000 [1:24:05<2:47:48, 15.09s/it]
 33%|███▎      | 334/1000 [1:24:20<2:47:29, 15.09s/it]
 34%|███▎      | 335/1000 [1:24:35<2:47:17, 15.09s/it]
 34%|███▎      | 336/1000 [1:24:51<2:47:03, 15.10s/it]
 34%|███▎      | 337/1000 [1:25:06<2:46:48, 15.10s/it]
 34%|███▍      | 338/1000 [1:25:21<2:46:35, 15.10s/it]
 34%|███▍      | 339/1000 [1:25:36<2:46:17, 15.09s/it]
 34%|███▍      | 340/1000 [1:25:51<2:46:01, 15.09s/it]
 34%|███▍      | 341/1000 [1:26:06<2:45:50, 15.10s/it]
 34%|███▍      | 342/1000 [1:26:21<2:45:39, 15.11s/it]
 34%|███▍      | 343/1000 [1:26:36<2:45:24, 15.11s/it]
 34%|███▍      | 344/1000 [1:26:51<2:45:06, 15.10s/it]
 34%|███▍      | 345/1000 [1:27:06<2:44:47, 15.10s/it]
 35%|███▍      | 346/1000 [1:27:22<2:44:31, 15.09s/it]
 35%|███▍      | 347/1000 [1:27:37<2:44:18, 15.10s/it]
 35%|███▍      | 348/1000 [1:27:52<2:44:05, 15.10s/it]
 35%|███▍      | 349/1000 [1:28:07<2:43:48, 15.10s/it]
